Date, Total, TLSv1.3, TLSv1.3 (draft 23), TLSv1.2, TLSv1.1, TLSv1.0, Error, Others, Connection Failed
2020-03-16, 836800, 277033, 0, 512884, 54, 9645, 37184, 0, 163200
2020-03-17, 836941, 277355, 0, 512791, 52, 9568, 37175, 0, 163059
2020-03-18, 837085, 277563, 0, 512761, 51, 9510, 37200, 0, 162915
2020-03-19, 836799, 279657, 0, 510367, 50, 9479, 37246, 0, 163201
2020-03-20, 836355, 283003, 0, 506814, 49, 9427, 37062, 0, 163645
2020-03-21, 836226, 283184, 0, 506582, 47, 9402, 37011, 0, 163774
2020-03-22, 833353, 283217, 0, 502399, 49, 9370, 38318, 0, 166647
2020-03-23, 831224, 283305, 0, 501477, 50, 9380, 37012, 0, 168776
2020-03-24, 831548, 282299, 0, 502764, 49, 9359, 37077, 0, 168452
2020-03-25, 831186, 282521, 0, 502352, 48, 9312, 36953, 0, 168814
2020-03-26, 834776, 282606, 0, 505799, 47, 9303, 37021, 0, 165224
2020-03-27, 835903, 282643, 0, 506883, 46, 9270, 37061, 0, 164097
2020-03-28, 836336, 282960, 0, 507109, 44, 9263, 36960, 0, 163664
2020-03-29, 837001, 283234, 0, 507211, 45, 9262, 37249, 0, 162999
2020-03-30, 834445, 283290, 0, 505641, 47, 8473, 36994, 0, 165555
2020-03-31, 834715, 283204, 0, 505917, 48, 8475, 37071, 0, 165285
2020-04-01, 835613, 284984, 0, 503774, 47, 8356, 38452, 0, 164387
2020-04-02, 835300, 285642, 0, 504162, 49, 8385, 37062, 0, 164700
2020-04-03, 835729, 286226, 0, 504156, 46, 8373, 36928, 0, 164271
2020-04-04, 835600, 286334, 0, 503974, 45, 8357, 36890, 0, 164400
2020-04-05, 835919, 286479, 0, 504154, 46, 8358, 36882, 0, 164081
2020-04-06, 835469, 286761, 0, 502978, 47, 8359, 37324, 0, 164531
2020-04-07, 834106, 288170, 0, 500828, 48, 8292, 36768, 0, 165894
2020-04-08, 835737, 290077, 0, 500362, 48, 8295, 36955, 0, 164263
2020-04-09, 835713, 290440, 0, 500001, 47, 8277, 36948, 0, 164287
2020-04-10, 836073, 290788, 0, 498867, 45, 8240, 38133, 0, 163927
2020-04-11, 836016, 291136, 0, 499508, 46, 8256, 37070, 0, 163984
2020-04-12, 836152, 291822, 0, 499216, 47, 8258, 36809, 0, 163848
2020-04-13, 836059, 291872, 0, 499003, 48, 8260, 36876, 0, 163941
2020-04-14, 836103, 292098, 0, 499083, 45, 8207, 36670, 0, 163897
2020-04-15, 835847, 292315, 0, 499419, 46, 8199, 35868, 0, 164153
2020-04-16, 835336, 292754, 0, 498529, 47, 8184, 35822, 0, 164664
2020-04-17, 835995, 292907, 0, 499132, 48, 8192, 35716, 0, 164005
2020-04-18, 834693, 291910, 0, 498867, 45, 8165, 35706, 0, 165307
2020-04-19, 835683, 292374, 0, 499459, 47, 8151, 35652, 0, 164317
2020-04-20, 835436, 292802, 0, 498733, 47, 8142, 35712, 0, 164564
2020-04-21, 830625, 295175, 0, 490007, 45, 8073, 37325, 0, 169375
2020-04-22, 830966, 295567, 0, 491617, 45, 8111, 35626, 0, 169034
2020-04-23, 759355, 270329, 0, 448772, 41, 7346, 32867, 0, 240645
2020-04-24, 835773, 296935, 0, 495151, 46, 8043, 35598, 0, 164227
2020-04-25, 835639, 297036, 0, 494944, 45, 8027, 35587, 0, 164361
2020-04-26, 834679, 297186, 0, 494957, 45, 8039, 34452, 0, 165321
2020-04-27, 834414, 297252, 0, 494644, 44, 8013, 34461, 0, 165586
2020-04-28, 830892, 298385, 0, 490019, 44, 8018, 34426, 0, 169108
2020-04-29, 829637, 302049, 0, 485209, 44, 7984, 34351, 0, 170363
2020-04-30, 833083, 306553, 0, 484113, 43, 7957, 34417, 0, 166917
2020-05-01, 834597, 306718, 0, 483949, 43, 7878, 36009, 0, 165403
2020-05-02, 834670, 306720, 0, 485578, 42, 7916, 34414, 0, 165330
2020-05-03, 830481, 306772, 0, 481574, 43, 7908, 34184, 0, 169519
2020-05-04, 828407, 306905, 0, 479167, 42, 7831, 34462, 0, 171593
2020-05-05, 832053, 309874, 0, 479816, 44, 7907, 34412, 0, 167947
2020-05-06, 834406, 310063, 0, 482106, 42, 7883, 34312, 0, 165594
2020-05-07, 835023, 311159, 0, 481622, 43, 7861, 34338, 0, 164977
2020-05-08, 835288, 311406, 0, 481531, 41, 7842, 34468, 0, 164712
2020-05-09, 835244, 311433, 0, 481573, 43, 7831, 34364, 0, 164756
2020-05-10, 835203, 311548, 0, 481474, 45, 7808, 34328, 0, 164797
2020-05-11, 835368, 311439, 0, 480045, 45, 7737, 36102, 0, 164632
2020-05-12, 835222, 311657, 0, 481184, 44, 7793, 34544, 0, 164778
2020-05-13, 834858, 312294, 0, 480422, 44, 7742, 34356, 0, 165142
2020-05-14, 835123, 313787, 0, 479206, 46, 7744, 34340, 0, 164877
2020-05-15, 834701, 313930, 0, 478718, 46, 7748, 34259, 0, 165299
2020-05-16, 835118, 314228, 0, 478912, 46, 7734, 34198, 0, 164882
2020-05-17, 834587, 314226, 0, 478485, 46, 7718, 34112, 0, 165413
2020-05-18, 829851, 314568, 0, 473382, 45, 7739, 34117, 0, 170149
2020-05-19, 830054, 314933, 0, 473293, 44, 7710, 34074, 0, 169946
2020-05-20, 830255, 315163, 0, 473415, 44, 7675, 33958, 0, 169745
2020-05-21, 828647, 314277, 0, 470580, 43, 7612, 36135, 0, 171353
2020-05-22, 833090, 314845, 0, 476568, 43, 7654, 33980, 0, 166910
2020-05-23, 834475, 315007, 0, 477694, 43, 7641, 34090, 0, 165525
2020-05-24, 834529, 315085, 0, 477562, 42, 7631, 34209, 0, 165471
2020-05-25, 833490, 315204, 0, 476492, 41, 7629, 34124, 0, 166510
2020-05-26, 833016, 315615, 0, 475943, 44, 7613, 33801, 0, 166984
2020-05-27, 834377, 315430, 0, 477320, 41, 7584, 34002, 0, 165623
2020-05-28, 834538, 315916, 0, 476954, 41, 7557, 34070, 0, 165462
2020-05-29, 834707, 316049, 0, 477005, 41, 7569, 34043, 0, 165293
2020-05-30, 834538, 316175, 0, 476853, 40, 7530, 33940, 0, 165462
2020-05-31, 834441, 316315, 0, 476625, 39, 7529, 33933, 0, 165559
2020-06-01, 834226, 316414, 0, 476297, 40, 7509, 33966, 0, 165774
2020-06-02, 833815, 316631, 0, 475665, 39, 7494, 33986, 0, 166185
2020-06-03, 834201, 316971, 0, 475666, 39, 7499, 34026, 0, 165799
2020-06-04, 829288, 317333, 0, 470478, 39, 7494, 33944, 0, 170712
2020-06-05, 829073, 317627, 0, 468859, 40, 7444, 35103, 0, 170927
2020-06-06, 829278, 317734, 0, 469216, 41, 7462, 34825, 0, 170722
2020-06-07, 829350, 317771, 0, 469395, 41, 7466, 34677, 0, 170650
2020-06-08, 829158, 317768, 0, 468916, 40, 7472, 34962, 0, 170842
2020-06-09, 829387, 318107, 0, 469202, 37, 7432, 34609, 0, 170613
2020-06-10, 830308, 318336, 0, 469863, 39, 7416, 34654, 0, 169692
2020-06-11, 834301, 318523, 0, 473656, 38, 7396, 34688, 0, 165699
2020-06-12, 834269, 318718, 0, 474345, 36, 7376, 33794, 0, 165731
2020-06-13, 834198, 318772, 0, 474343, 38, 7366, 33679, 0, 165802
2020-06-14, 834315, 319006, 0, 474250, 38, 7369, 33652, 0, 165685
2020-06-15, 834517, 319000, 0, 474272, 39, 7335, 33871, 0, 165483
2020-06-16, 834276, 319460, 0, 473490, 39, 7323, 33964, 0, 165724
2020-06-17, 834769, 319981, 0, 473344, 40, 7328, 34076, 0, 165231
2020-06-18, 798713, 306440, 0, 452595, 38, 7028, 32612, 0, 201287
2020-06-19, 835025, 320201, 0, 473685, 41, 7301, 33797, 0, 164975
2020-06-20, 834984, 320401, 0, 471938, 39, 7240, 35366, 0, 165016
2020-06-21, 834745, 320247, 0, 473334, 41, 7291, 33832, 0, 165255
2020-06-22, 834395, 320397, 0, 472813, 42, 7278, 33865, 0, 165605
2020-06-23, 834603, 320625, 0, 472717, 42, 7264, 33955, 0, 165397
2020-06-24, 835243, 320895, 0, 472553, 42, 7242, 34511, 0, 164757
2020-06-25, 835337, 321157, 0, 472462, 42, 7220, 34456, 0, 164663
2020-06-26, 835189, 321328, 0, 472213, 41, 7218, 34389, 0, 164811
2020-06-27, 835251, 321471, 0, 472170, 41, 7203, 34366, 0, 164749
2020-06-28, 835243, 321529, 0, 472270, 41, 7162, 34241, 0, 164757
2020-06-29, 834810, 321815, 0, 471408, 40, 7154, 34393, 0, 165190
2020-06-30, 835033, 322113, 0, 471437, 40, 7147, 34296, 0, 164967
2020-07-01, 834614, 322293, 0, 470759, 39, 7131, 34392, 0, 165386
2020-07-02, 834897, 322562, 0, 470910, 40, 7119, 34266, 0, 165103
2020-07-03, 835247, 322843, 0, 470951, 41, 7110, 34302, 0, 164753
2020-07-04, 834763, 322832, 0, 469247, 40, 7068, 35576, 0, 165237
2020-07-05, 834964, 322918, 0, 470303, 40, 7064, 34639, 0, 165036
2020-07-06, 833917, 322883, 0, 469608, 40, 7075, 34311, 0, 166083
2020-07-07, 830038, 323255, 0, 465522, 41, 7039, 34181, 0, 169962
2020-07-08, 829549, 323538, 0, 464285, 42, 7019, 34665, 0, 170451
2020-07-09, 832664, 324069, 0, 466212, 43, 7015, 35325, 0, 167336
2020-07-10, 830855, 323827, 0, 464296, 42, 6990, 35700, 0, 169145
2020-07-11, 836451, 324424, 0, 469264, 39, 6985, 35739, 0, 163549
2020-07-12, 836362, 324464, 0, 469170, 39, 6971, 35718, 0, 163638
2020-07-13, 836120, 324819, 0, 468584, 41, 6953, 35723, 0, 163880
2020-07-14, 836150, 325089, 0, 468280, 38, 6940, 35803, 0, 163850
2020-07-15, 835756, 325536, 0, 467429, 38, 6914, 35839, 0, 164244
2020-07-16, 835863, 325639, 0, 467608, 39, 6872, 35705, 0, 164137
2020-07-17, 835453, 325414, 0, 467378, 38, 6845, 35778, 0, 164547
2020-07-18, 835760, 325974, 0, 467252, 36, 6817, 35681, 0, 164240
2020-07-19, 835681, 325815, 0, 466130, 35, 6787, 36914, 0, 164319
2020-07-20, 835695, 326051, 0, 467056, 35, 6761, 35792, 0, 164305
2020-07-21, 835717, 326248, 0, 466940, 35, 6546, 35948, 0, 164283
2020-07-22, 836017, 327683, 0, 465846, 34, 6391, 36063, 0, 163983
2020-07-23, 835807, 327850, 0, 465714, 32, 6235, 35976, 0, 164193
2020-07-24, 836025, 327992, 0, 465852, 33, 6140, 36008, 0, 163975
2020-07-25, 835879, 328170, 0, 465614, 32, 6087, 35976, 0, 164121
2020-07-26, 835897, 328202, 0, 465647, 32, 6055, 35961, 0, 164103
2020-07-27, 835716, 328156, 0, 465200, 32, 5962, 36366, 0, 164284
2020-07-28, 836238, 328884, 0, 465189, 31, 5883, 36251, 0, 163762
2020-07-29, 836407, 328882, 0, 465379, 31, 5815, 36300, 0, 163593
2020-07-30, 836479, 329156, 0, 465280, 30, 5761, 36252, 0, 163521
2020-07-31, 836886, 330012, 0, 464999, 27, 5726, 36122, 0, 163114
2020-08-01, 836657, 330260, 0, 464579, 27, 5695, 36096, 0, 163343
2020-08-02, 836641, 330419, 0, 464387, 28, 5689, 36118, 0, 163359
2020-08-03, 836476, 330529, 0, 464031, 28, 5654, 36234, 0, 163524
2020-08-04, 835425, 329747, 0, 463793, 28, 5597, 36260, 0, 164575
2020-08-05, 836327, 331134, 0, 463560, 28, 5580, 36025, 0, 163673
2020-08-06, 836015, 331435, 0, 463022, 28, 5538, 35992, 0, 163985
2020-08-07, 836610, 331768, 0, 463164, 27, 5532, 36119, 0, 163390
2020-08-08, 836480, 331931, 0, 462934, 24, 5498, 36093, 0, 163520
2020-08-09, 836294, 331732, 0, 462532, 23, 5504, 36503, 0, 163706
2020-08-10, 836416, 332046, 0, 462234, 25, 5497, 36614, 0, 163584
2020-08-11, 836346, 332224, 0, 462009, 29, 5442, 36642, 0, 163654
2020-08-12, 835705, 332371, 0, 459475, 29, 5372, 38458, 0, 164295
2020-08-13, 835254, 333037, 0, 460753, 31, 5408, 36025, 0, 164746
2020-08-14, 834207, 333297, 0, 459420, 32, 5367, 36091, 0, 165793
2020-08-15, 721402, 288769, 0, 395912, 25, 4615, 32081, 0, 278598
2020-08-17, 835403, 333563, 0, 458796, 26, 5295, 37723, 0, 164597
2020-08-18, 835467, 333956, 0, 460025, 27, 5286, 36173, 0, 164533
2020-08-19, 834305, 334165, 0, 458537, 27, 5279, 36297, 0, 165695
2020-08-20, 723742, 292171, 0, 395108, 22, 4607, 31834, 0, 276258
2020-08-21, 834258, 334891, 0, 457970, 26, 5246, 36125, 0, 165742
2020-08-22, 835650, 335744, 0, 458569, 27, 5239, 36071, 0, 164350
2020-08-23, 835650, 336239, 0, 458086, 25, 5219, 36081, 0, 164350
2020-08-24, 835651, 337012, 0, 457115, 27, 5201, 36296, 0, 164349
2020-08-25, 336165, 136452, 0, 182398, 11, 2086, 15218, 0, 663835
2020-08-27, 835822, 340725, 0, 453744, 28, 5178, 36147, 0, 164178
2020-08-28, 835799, 341448, 0, 453120, 27, 5152, 36052, 0, 164201
2020-08-29, 6120, 2434, 0, 3293, 0, 42, 351, 0, 993880
2020-08-31, 835728, 348707, 0, 443459, 26, 5081, 38455, 0, 164272
2020-09-01, 835538, 352736, 0, 441257, 30, 5110, 36405, 0, 164462
2020-09-02, 834991, 355237, 0, 438672, 28, 5053, 36001, 0, 165009
2020-09-03, 833319, 357218, 0, 435028, 28, 5048, 35997, 0, 166681
2020-09-04, 834869, 363137, 0, 430824, 27, 5068, 35813, 0, 165131
2020-09-05, 834654, 364863, 0, 429053, 26, 5054, 35658, 0, 165346
2020-09-06, 834401, 366314, 0, 427333, 25, 5034, 35695, 0, 165599
2020-09-07, 833933, 366640, 0, 426531, 25, 5003, 35734, 0, 166067
2020-09-08, 834398, 367692, 0, 425893, 26, 5010, 35777, 0, 165602
2020-09-09, 834344, 368663, 0, 424918, 24, 5007, 35732, 0, 165656
2020-09-10, 834486, 371344, 0, 420160, 23, 4985, 37974, 0, 165514
2020-09-11, 834334, 371895, 0, 421808, 24, 4974, 35633, 0, 165666
2020-09-12, 834289, 372035, 0, 421526, 21, 4941, 35766, 0, 165711
2020-09-13, 834214, 372181, 0, 421458, 24, 4949, 35602, 0, 165786
2020-09-14, 833894, 372435, 0, 420911, 24, 4946, 35578, 0, 166106
2020-09-15, 829208, 372687, 0, 415966, 24, 4934, 35597, 0, 170792
2020-09-16, 829459, 373246, 0, 415780, 24, 4918, 35491, 0, 170541
2020-09-17, 831318, 373562, 0, 417389, 24, 4897, 35446, 0, 168682
2020-09-18, 832814, 374124, 0, 418448, 24, 4887, 35331, 0, 167186
2020-09-19, 833338, 373609, 0, 417855, 23, 4856, 36995, 0, 166662
2020-09-20, 833839, 374075, 0, 419979, 24, 4867, 34894, 0, 166161
2020-09-21, 833552, 374266, 0, 419492, 24, 4861, 34909, 0, 166448
2020-09-22, 829287, 374918, 0, 413937, 24, 4866, 35542, 0, 170713
2020-09-23, 829186, 375213, 0, 413642, 23, 4858, 35450, 0, 170814
2020-09-24, 831730, 375482, 0, 416004, 24, 4829, 35391, 0, 168270
2020-09-25, 834856, 375658, 0, 418958, 23, 4821, 35396, 0, 165144
2020-09-26, 834642, 375643, 0, 418788, 23, 4788, 35400, 0, 165358
2020-09-27, 834714, 375758, 0, 418866, 23, 4784, 35283, 0, 165286
2020-09-28, 835115, 375873, 0, 419083, 23, 4771, 35365, 0, 164885
2020-09-29, 834252, 375763, 0, 415951, 22, 4719, 37797, 0, 165748
2020-09-30, 835033, 377956, 0, 416863, 23, 4755, 35436, 0, 164967
2020-10-01, 338847, 155086, 0, 166954, 8, 1898, 14901, 0, 661153
2020-10-02, 191214, 87358, 0, 93894, 4, 1080, 8878, 0, 808786
2020-10-07, 835601, 383030, 0, 412124, 21, 4682, 35744, 0, 164399
2020-10-08, 131885, 60403, 0, 65249, 4, 718, 5511, 0, 868115
2020-10-09, 836122, 383685, 0, 411654, 20, 4643, 36120, 0, 163878
2020-10-10, 825919, 378526, 0, 404955, 19, 4567, 37852, 0, 174081
2020-10-12, 836076, 383815, 0, 411198, 18, 4631, 36414, 0, 163924
2020-10-13, 835868, 384413, 0, 409646, 18, 4592, 37199, 0, 164132
2020-10-14, 835021, 384719, 0, 409798, 18, 4587, 35899, 0, 164979
2020-10-15, 835438, 384955, 0, 409655, 17, 4591, 36220, 0, 164562
2020-10-16, 834291, 384873, 0, 409135, 17, 4583, 35683, 0, 165709
2020-10-17, 834655, 385144, 0, 409449, 17, 4577, 35468, 0, 165345
2020-10-18, 834768, 385103, 0, 409483, 17, 4556, 35609, 0, 165232
2020-10-19, 833828, 384963, 0, 408754, 17, 4545, 35549, 0, 166172
2020-10-20, 834664, 385373, 0, 408946, 17, 4574, 35754, 0, 165336
2020-10-21, 831573, 384751, 0, 406592, 18, 4507, 35705, 0, 168427
2020-10-22, 834404, 385519, 0, 407081, 15, 4519, 37270, 0, 165596
2020-10-23, 834960, 386029, 0, 409312, 17, 4527, 35075, 0, 165040
2020-10-24, 832608, 385928, 0, 406698, 16, 4419, 35547, 0, 167392
2020-10-25, 833475, 385568, 0, 408176, 15, 4498, 35218, 0, 166525
2020-10-26, 834807, 386314, 0, 408816, 16, 4509, 35152, 0, 165193
2020-10-27, 834543, 386321, 0, 408672, 17, 4463, 35070, 0, 165457
2020-10-28, 834548, 386529, 0, 408436, 17, 4468, 35098, 0, 165452
2020-10-29, 834307, 386713, 0, 407910, 17, 4454, 35213, 0, 165693
2020-10-30, 834665, 387146, 0, 407944, 18, 4458, 35099, 0, 165335
2020-10-31, 832847, 386192, 0, 405002, 18, 4383, 37252, 0, 167153
2020-11-01, 833568, 386629, 0, 407252, 19, 4431, 35237, 0, 166432
2020-11-02, 834251, 387278, 0, 407311, 18, 4404, 35240, 0, 165749
2020-11-03, 834408, 388044, 0, 406876, 18, 4410, 35060, 0, 165592
2020-11-04, 834311, 388845, 0, 406007, 18, 4389, 35052, 0, 165689
2020-11-05, 834580, 389236, 0, 405919, 18, 4407, 35000, 0, 165420
2020-11-06, 834724, 389497, 0, 405762, 18, 4394, 35053, 0, 165276
2020-11-07, 834484, 389486, 0, 405552, 17, 4384, 35045, 0, 165516
2020-11-08, 834040, 389311, 0, 405284, 17, 4393, 35035, 0, 165960
2020-11-09, 834022, 388310, 0, 403459, 16, 4333, 37904, 0, 165978
2020-11-10, 833943, 389608, 0, 404634, 15, 4365, 35321, 0, 166057
2020-11-11, 833616, 389695, 0, 404776, 16, 4352, 34777, 0, 166384
2020-11-12, 832924, 391163, 0, 402528, 16, 4342, 34875, 0, 167076
2020-11-13, 832982, 391335, 0, 402626, 16, 4324, 34681, 0, 167018
2020-11-14, 833215, 391389, 0, 402674, 16, 4318, 34818, 0, 166785
2020-11-15, 833102, 391529, 0, 402532, 16, 4309, 34716, 0, 166898
2020-11-16, 831774, 390543, 0, 402175, 16, 4320, 34720, 0, 168226
2020-11-17, 832495, 391774, 0, 401836, 16, 4295, 34574, 0, 167505
2020-11-18, 830744, 391954, 0, 399998, 16, 4300, 34476, 0, 169256
2020-11-19, 742969, 353254, 0, 354776, 13, 3834, 31092, 0, 257031
2020-11-20, 827039, 392252, 0, 396044, 16, 4255, 34472, 0, 172961
2020-11-21, 827184, 392333, 0, 396210, 16, 4243, 34382, 0, 172816
2020-11-22, 826934, 392160, 0, 394059, 16, 4225, 36474, 0, 173066
2020-11-23, 827392, 392545, 0, 396105, 17, 4241, 34484, 0, 172608
2020-11-24, 827187, 392680, 0, 396000, 16, 4220, 34271, 0, 172813
2020-11-25, 832307, 392390, 0, 401334, 16, 4219, 34348, 0, 167693
2020-11-26, 832842, 392818, 0, 401393, 16, 4195, 34420, 0, 167158
2020-11-27, 828333, 393023, 0, 396504, 16, 4183, 34607, 0, 171667
2020-11-28, 827512, 393070, 0, 395978, 16, 4192, 34256, 0, 172488
2020-11-29, 827154, 392905, 0, 395774, 16, 4179, 34280, 0, 172846
2020-11-30, 827340, 393320, 0, 395535, 16, 4168, 34301, 0, 172660
2020-12-01, 827491, 393747, 0, 395344, 16, 4162, 34222, 0, 172509
2020-12-02, 827150, 393904, 0, 394890, 16, 4154, 34186, 0, 172850
2020-12-03, 827420, 394374, 0, 394659, 16, 4143, 34228, 0, 172580
2020-12-04, 830768, 394312, 0, 398030, 16, 4107, 34303, 0, 169232
2020-12-05, 832781, 394835, 0, 399571, 16, 4121, 34238, 0, 167219
2020-12-06, 832718, 394937, 0, 399426, 16, 4125, 34214, 0, 167282
2020-12-07, 832873, 395141, 0, 398428, 16, 4107, 35181, 0, 167127
2020-12-08, 832627, 394895, 0, 397763, 18, 4093, 35858, 0, 167373
2020-12-09, 828878, 395323, 0, 395198, 18, 4119, 34220, 0, 171122
2020-12-10, 827980, 395503, 0, 393405, 18, 4095, 34959, 0, 172020
2020-12-11, 828176, 396027, 0, 393372, 18, 4097, 34662, 0, 171824
2020-12-12, 827181, 396177, 0, 392811, 18, 4080, 34095, 0, 172819
2020-12-13, 827070, 396493, 0, 392369, 18, 4072, 34118, 0, 172930
2020-12-14, 827065, 396562, 0, 392261, 18, 4073, 34151, 0, 172935
2020-12-15, 827544, 396733, 0, 392477, 18, 4075, 34241, 0, 172456
2020-12-16, 827908, 397116, 0, 392440, 19, 4059, 34274, 0, 172092
2020-12-17, 827922, 397280, 0, 392305, 18, 4035, 34284, 0, 172078
2020-12-18, 828033, 397459, 0, 392305, 18, 4042, 34209, 0, 171967
2020-12-19, 827870, 397452, 0, 392149, 18, 4037, 34214, 0, 172130
2020-12-20, 828502, 397645, 0, 392567, 18, 4026, 34246, 0, 171498
2020-12-21, 827662, 397337, 0, 392063, 18, 4019, 34225, 0, 172338
2020-12-22, 828878, 397848, 0, 392223, 18, 3999, 34790, 0, 171122
2020-12-23, 829092, 398008, 0, 391585, 18, 3985, 35496, 0, 170908
2020-12-24, 828661, 397846, 0, 392717, 18, 3991, 34089, 0, 171339
2020-12-25, 828809, 398087, 0, 392659, 18, 3990, 34055, 0, 171191
2020-12-26, 828485, 397983, 0, 392390, 18, 3993, 34101, 0, 171515
2020-12-27, 828657, 398009, 0, 392552, 18, 3987, 34091, 0, 171343
2020-12-28, 828195, 397674, 0, 392445, 17, 3985, 34074, 0, 171805
2020-12-29, 828538, 398261, 0, 392209, 18, 3974, 34076, 0, 171462
2020-12-30, 828917, 398483, 0, 392305, 18, 3968, 34143, 0, 171083
2020-12-31, 828826, 398593, 0, 392193, 18, 3957, 34065, 0, 171174
